key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2010-10-31 03:32:00.000000130,3.7,2010-10-31 03:32:00 UTC,-73.982163,40.762762,-73.987518,40.760543,1
2014-11-20 22:50:22.0000002,14.5,2014-11-20 22:50:22 UTC,-73.99556,40.759405,-73.968201,40.804051,1
2010-01-26 19:27:55.0000002,11.7,2010-01-26 19:27:55 UTC,-74.001313,40.736943,-73.994137,40.699002,1
2010-03-22 19:00:00.000000191,4.5,2010-03-22 19:00:00 UTC,-74.005897,40.77064,-74.008753,40.769735,1
2011-02-26 08:57:11.0000002,4.9,2011-02-26 08:57:11 UTC,-73.984917,40.749153,-74.000801,40.757591,1
2011-03-18 20:58:35.0000005,6.9,2011-03-18 20:58:35 UTC,-73.992839,40.742768,-73.988088,40.72876,1
2012-11-15 15:37:25.0000005,14.0,2012-11-15 15:37:25 UTC,-73.965756,40.805439,-73.982238,40.768464,1
2014-09-11 12:01:49.0000001,18.0,2014-09-11 12:01:49 UTC,-73.996284,40.738283,-73.970319,40.763903,1
2012-02-20 17:00:59.0000004,6.9,2012-02-20 17:00:59 UTC,0.0,0.0,0.0,0.0,2
2009-12-03 11:21:00.00000042,9.7,2009-12-03 11:21:00 UTC,-73.996782,40.725455,-73.989315,40.751845,1
2010-06-15 19:20:00.000000112,4.1,2010-06-15 19:20:00 UTC,-73.96976,40.789027,-73.987017,40.78881,3
2013-04-22 13:05:00.00000036,6.5,2013-04-22 13:05:00 UTC,-73.946297,40.772875,-73.958855,40.781,1
2011-01-29 21:41:09.0000002,8.9,2011-01-29 21:41:09 UTC,-73.987733,40.728487,-73.987501,40.737518,2
2009-05-03 08:03:00.00000029,4.5,2009-05-03 08:03:00 UTC,-73.992742,40.755707,-73.985755,40.763865,1
2012-03-15 09:06:00.00000040,8.1,2012-03-15 09:06:00 UTC,-74.002233,40.73965,-73.984492,40.74608,1
2012-10-09 07:57:00.000000219,5.0,2012-10-09 07:57:00 UTC,-73.95806,40.800403,-73.953522,40.790833,1
2011-07-21 07:57:00.00000024,17.3,2011-07-21 07:57:00 UTC,-73.983737,40.767842,-73.983737,40.767842,1
2009-09-15 21:50:25.0000002,2.9,2009-09-15 21:50:25 UTC,-74.007078,40.728887,-74.006389,40.733029,1
2009-02-08 20:53:00.00000089,4.1,2009-02-08 20:53:00 UTC,-73.990132,40.737992,-73.998008,40.735467,5
2011-10-11 00:15:00.00000043,18.5,2011-10-11 00:15:00 UTC,-73.992397,40.748468,-73.951788,40.682283,1
2013-04-09 06:19:00.00000018,15.0,2013-04-09 06:19:00 UTC,-74.002905,40.760294,-73.960495,40.81775,1
2014-01-10 19:50:54.0000001,8.5,2014-01-10 19:50:54 UTC,-73.966073,40.789831,-73.950092,40.775822,1
2010-11-26 15:40:00.000000141,4.1,2010-11-26 15:40:00 UTC,-73.95442,40.77799,-73.95885,40.772837,5
2010-06-28 23:31:00.00000086,5.3,2010-06-28 23:31:00 UTC,-73.92069,40.769385,-73.914648,40.77176,6
